file_name,file_upload_date,db_content_type,exiftool_mime_type,type_mismatch,type_major_mismatch,media_file,media_entry,file_store_path
IMG_4299.psd,2013-04-04T21:30:56.925Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/0c482710-7a59-4f55-a817-21ea9b704244,https://medienarchiv.zhdk.ch/entries/a67befeb-7f3f-4771-92ff-1fe741cf32a3,d/d41ee83166424b25834ce9fc0b2230d3
IMG_4300.psd,2013-04-04T21:32:21.226Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/a16a1a6e-3b29-4f50-a767-02e0c52fbbff,https://medienarchiv.zhdk.ch/entries/1b6edc41-e25f-495d-80a8-423389f728cb,6/69a47caaca4c42838706a43f2bc5fa8d
IMG_4312.psd,2013-04-04T21:52:33.396Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/2e24e3da-2751-4ba4-8e61-06814e993bea,https://medienarchiv.zhdk.ch/entries/5edab1fe-98c9-4d95-98d7-2fa462bbc8ce,5/5bee98bb14bf41a085684f1edae6950e
IMG_4311.psd,2013-04-04T21:52:55.554Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/fa106e30-92d5-4afd-9482-9b53cb3f8254,https://medienarchiv.zhdk.ch/entries/f834e803-36ef-47e7-9fb9-4585a213ba8a,1/13940118740e4c898ad204e8d8d85ef9
IMG_4321.psd,2013-04-04T21:53:14.058Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/987c0d05-1654-4a4c-bd34-4030eed05c91,https://medienarchiv.zhdk.ch/entries/c4fd9eeb-34a7-4070-a8b2-5e1a57c4cc3e,2/23c35f66a8a34d19ba30fd712ce4e68e
IMG_4308.psd,2013-04-04T21:53:35.459Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d6526b48-2e53-40e1-940c-a5a3c75b4276,https://medienarchiv.zhdk.ch/entries/841d0489-726a-424c-96f0-ddb10846fea2,7/73c8674adfaa401ca9f59742baa7b3cd
1zu60.psd,2013-04-05T09:14:10.923Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/f4adee20-51cb-4463-92f4-7b143626b288,https://medienarchiv.zhdk.ch/entries/91d2a0dd-beed-4e6c-b511-db54daec5929,8/87ce2013390848cc9cb3fb91b7bad742
1_zu_60_mont.psd,2013-04-05T09:15:11.931Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/5b9836a7-e316-4429-a730-3c340bf532d4,https://medienarchiv.zhdk.ch/entries/19db5e05-64b4-466c-a0b6-c525ef226b4d,8/8fffbfeac9254e42af872bf168719002
21_lavaterzimmer_selbstbeschreibung_ab.psd,2013-04-08T07:18:46.100Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/61acdfa5-5c9f-4194-9d9e-dc6dd9c7351e,https://medienarchiv.zhdk.ch/entries/63f66f25-598c-4351-a311-8631c2d83196,5/52e469481d594b7b9f6d2154b7bec756
logo Kopie 1.psd,2013-04-08T08:05:59.265Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/dde8dc6e-5246-418b-b59e-a04755c0ff9b,https://medienarchiv.zhdk.ch/entries/7973e521-3b15-42ac-82c0-98757f12232c,c/c7243084fa8b4548a0a01d73b050ce54
7.psd,2013-04-12T09:00:40.393Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/0fe9ced0-0fc1-4d32-93b8-b14b93cbfe1a,https://medienarchiv.zhdk.ch/entries/2a756ec2-195a-491b-b3c6-33c48963bc71,e/ea517f3645c340a383f37ce497360ea5
8.psd,2013-04-12T09:01:13.392Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/2173e9c0-6eb8-4421-a307-799a874ae04a,https://medienarchiv.zhdk.ch/entries/a1abcd40-680d-4fd6-ad3b-029010668a7e,5/53a7038b3ffe4dcd9ae69da63e4f00f3
10.psd,2013-04-12T09:02:15.590Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/60f91cff-0bf5-43f3-8fd3-8210fa45a83d,https://medienarchiv.zhdk.ch/entries/7ce1dbaa-e92c-4efc-89f2-fc57353eb822,a/a42c8f72b5344016acc70c7fd5f6e3e9
1.psd,2013-04-12T09:03:48.520Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/4e3b0f79-8c07-4919-893b-deceba99b578,https://medienarchiv.zhdk.ch/entries/25dd04f1-fe6f-4807-8ae7-f2e6cc33b365,7/7a96606ad04a489ca6cb21ab35e68d22
4.psd,2013-04-12T09:04:59.965Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/fd50455f-b5ea-4951-bc7c-01d850e018d8,https://medienarchiv.zhdk.ch/entries/a8151738-4bf4-4452-9a64-df16a7cc2156,f/f17f8a154dda44a59a8d8fc8635fe859
5.psd,2013-04-12T09:05:24.434Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/312335bb-1a1f-4287-84ee-33ca5b8256f6,https://medienarchiv.zhdk.ch/entries/e71aa3b3-366a-46ad-8f43-c4374b79749b,1/1284cad97bdf48a594340f5063c8ca7a
L1110892.psd,2013-04-12T09:06:12.219Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/2da7f979-af15-4c5c-92b0-ba3ce4290043,https://medienarchiv.zhdk.ch/entries/ad1067c5-0eef-403f-be4d-9c489d961f12,0/08c899383d224018be61ec571612b261
L1110893.psd,2013-04-12T09:07:13.605Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/17794159-a47c-4cfd-8d6b-9a4967a3c3dc,https://medienarchiv.zhdk.ch/entries/bd47508c-5cd8-4b45-88eb-32b6ae2fdec9,3/307dc5e5d8d449a28fcb74025b424689
L1110894.psd,2013-04-12T09:08:20.105Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/6770661b-9b90-4244-bccc-e02b111c2f9a,https://medienarchiv.zhdk.ch/entries/62e612a1-e89a-4d63-962c-1fb14c753a29,4/44002ca38bdd4e6bb3253e0652c6dcf5
L1110895.psd,2013-04-12T09:09:25.227Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/a551a42d-b8ae-48dd-b0fa-486251208d9a,https://medienarchiv.zhdk.ch/entries/bc341259-44be-4f11-9982-0482c72c7d71,0/0971ca6d9edc45a3a3bbb5473b3cb732
L1110896.psd,2013-04-12T09:10:22.348Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/7c283bf0-2ffc-48a1-bf24-fd1595d72b6d,https://medienarchiv.zhdk.ch/entries/95158e5a-c46e-4d85-a503-3f55bb97f4e7,c/c8d8f1993e6b453498cad1fdd9df7cff
L1110897.psd,2013-04-12T09:11:20.803Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d445b7d6-6c34-40d8-bf41-36589a7caa35,https://medienarchiv.zhdk.ch/entries/014b9075-428d-4b51-bc5c-1a815ae48ab6,4/4225179595794ca29343a17e22cbe75b
L1110898.psd,2013-04-12T09:12:16.843Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/ac86b6d0-e25d-4c8e-80f1-c6cd5c7bd111,https://medienarchiv.zhdk.ch/entries/1dcd7e7a-f3fd-43a5-b2b0-c9817665d7b8,6/67b3c47b02394092aa64134d27c68a10
L1110899.psd,2013-04-12T09:13:25.648Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/fad3da57-9fec-4d6b-abc2-af315ce10d6a,https://medienarchiv.zhdk.ch/entries/2fe4b601-763e-43f6-9095-cb79a6733346,7/7625fec39a2347bb97344ada2e0f9180
L1110900.psd,2013-04-12T09:14:36.249Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/8ce4371a-3cdc-408c-8628-0e3eeec42812,https://medienarchiv.zhdk.ch/entries/d34ff387-3135-4083-ade4-c82c54a3ccf9,5/5d2e3436456f4d9f9becc20e64011018
L1110902.psd,2013-04-12T09:15:44.420Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d8c2ec36-93b7-48cd-910f-edf2b6474f33,https://medienarchiv.zhdk.ch/entries/45406213-dd4c-4104-baef-f902e3b75b33,f/f7f0e3dce91b41a691d96a58f830d5d2
L1110903.psd,2013-04-12T09:16:47.989Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d6e6c393-6215-4345-bd29-1c3dbba27e14,https://medienarchiv.zhdk.ch/entries/0f8fe144-9e57-4350-90a5-67442bd71fc3,4/4f5f7361ac4341f1a979422ff24c416b
L1110904.psd,2013-04-12T09:17:49.491Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/0afb7423-4f09-455e-99e4-ad23ca5fe0ed,https://medienarchiv.zhdk.ch/entries/8048e481-5ab5-427b-b1e1-5001e046a61f,3/392bce9f6a0f433da95e68122c2eb42c
L1110907.psd,2013-04-12T09:19:15.452Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/63f5f73e-234e-4fd6-9f21-14de93322bb4,https://medienarchiv.zhdk.ch/entries/091865d4-1752-43bc-b668-ecc88f5ec3a3,e/e402049e87c94230be908e6a7102ef77
L1110908.psd,2013-04-12T09:20:20.397Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/2f9c9a9b-3447-4226-9f3e-3c94e7c4eff7,https://medienarchiv.zhdk.ch/entries/032b8415-b675-4085-8b53-b607ff8711fd,f/f62c58668e9c4e6391b53e13d32c440e
L1110909.psd,2013-04-12T09:21:13.363Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/07010306-f0d0-49c7-848f-45a9fed92d94,https://medienarchiv.zhdk.ch/entries/137ff2ae-43a7-43d1-a86a-c4083ababdaa,f/f152574d9cad41ab9a2adc93ff2d20d5
L1110910.psd,2013-04-12T09:22:11.531Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/02f183cb-8a3f-445d-9b8f-73315c6b32a7,https://medienarchiv.zhdk.ch/entries/27a42b2a-3e8b-478d-b504-57d437d2c9b5,e/e1a4f0e2b7e3430b977a19810583dcb8
L1110911.psd,2013-04-12T09:23:08.030Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/434fea0f-84b7-4891-9bbb-00ca351977aa,https://medienarchiv.zhdk.ch/entries/735525a7-a3d6-4eb2-a502-89146fbef092,e/e192499a68554f35b2527b486942b0a1
L1110912.psd,2013-04-12T09:24:17.695Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/df4c6766-3d29-4ece-82ef-b4bccd30fe2a,https://medienarchiv.zhdk.ch/entries/4416d11a-9bdc-48d0-b168-1b23a2f4a8c6,2/2601e893358e4b6991e06e637a66b106
L1110913.psd,2013-04-12T09:25:26.621Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d196de50-eacb-48b1-9f84-effb8ef7d796,https://medienarchiv.zhdk.ch/entries/f6771cd6-ca7e-4a11-8f3f-4a9ed20b5b61,4/412135eb23c3458ebe03cabfc953168e
L1110914.psd,2013-04-12T09:26:35.675Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/b4d8e588-428e-43fd-b0ac-e834452994d8,https://medienarchiv.zhdk.ch/entries/7baba78e-0dee-42a9-9f9c-97cb7b749d9f,7/7d4e7f7c178b480ea7cb018aed9525a9
L1110919.psd,2013-04-12T09:28:42.874Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/07b6c06e-cdf9-455c-82b2-091555c69379,https://medienarchiv.zhdk.ch/entries/09c2a7ab-654c-4b22-8c14-a7a249556a6d,b/b93a04ac15d04f2ead83e7c6157aae72
4.psd,2013-04-12T09:30:07.312Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/df4d4e20-23c7-42ab-9c86-1060e6ace62c,https://medienarchiv.zhdk.ch/entries/6ae852ef-46b9-4119-87d0-f47a966a2928,1/1dcb41f0430b472cae66ef22f31bd451
6.psd,2013-04-12T09:30:46.521Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/cce9fd00-bae5-4988-a60b-d63a8e3f9df5,https://medienarchiv.zhdk.ch/entries/4d3ba260-bb82-4a0a-8aad-42be7fdca5d7,8/8aa0a3df459b4257ba973dba79081506
7.psd,2013-04-12T09:31:01.140Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/45bcef98-7357-4212-8dd4-774ed8ed44bd,https://medienarchiv.zhdk.ch/entries/c5fbee37-ac9f-4869-8e02-04ec2959b0b9,d/d4e83b8a3f9f481daf51798059e744a8
8.psd,2013-04-12T09:31:14.634Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/7eefbb5a-9ccf-4ab8-bbce-88b7769197a1,https://medienarchiv.zhdk.ch/entries/4dbed85f-e53d-4269-8e6b-60d28c8cd82b,4/4181031bffc549a6abf6375e43dc0466
22.psd,2013-04-12T09:31:33.245Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/eb9de66a-67c1-4f07-909d-b58043389d02,https://medienarchiv.zhdk.ch/entries/c63fedab-df09-402d-8e22-dedc06ed4b11,f/fe042c9241ff43148a620ff10b185029
DSC_0002.psd,2013-04-12T09:32:36.859Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/857185e9-c3a9-46bb-ba9c-8e29424cdba1,https://medienarchiv.zhdk.ch/entries/64a990e2-3648-4c51-b12a-42f836dc277a,5/5bb7b13c01ed4115882a25d5afed7465
mon_grand-père.psd,2013-04-12T09:38:29.079Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/a6b6643f-4ace-4568-a358-109e66bbc852,https://medienarchiv.zhdk.ch/entries/f2794e73-49d9-4f1e-9303-9492578e03d2,0/021f8652cb164c5090ab289dfcbd96d6
1bis.psd,2013-04-12T09:40:11.992Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/aaa89104-2100-46c8-b001-5efdd98f94b1,https://medienarchiv.zhdk.ch/entries/d88ade16-2db1-4791-a40e-15db26aef2a5,b/bb77687677834d4ab9f38b6a3d9893c6
2.psd,2013-04-12T09:40:24.918Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d0e90eec-ff56-4092-a12c-8e1bc92a0f64,https://medienarchiv.zhdk.ch/entries/32b2a00d-40a5-44c3-9601-042acc54a1f3,6/6fc01625dfe0439f9e64ad5cbbe012d5
3bis.psd,2013-04-12T09:40:47.190Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/ff8a2ce5-3555-46d9-9ae9-7d55aea7b822,https://medienarchiv.zhdk.ch/entries/0273bccd-71a9-44b8-8682-3ee1ec8d2a35,5/54f797cb465a4164a31f5daa89091d25
8_1175_p_e_03.psd,2013-06-17T09:45:31.671Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/859039ad-d82d-4943-a321-1e9ab3bed7b4,https://medienarchiv.zhdk.ch/entries/7599ddfe-d528-497a-a1db-af88bf667f9a,d/dcc8116f0e814e47a27d2c3efb48b50e
8_1884_adler.psd,2013-06-17T10:39:43.986Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/12c1a05b-6b12-4adb-b589-42c8635073d9,https://medienarchiv.zhdk.ch/entries/866da947-075b-49cf-91ed-fc27226bbdc0,3/3e15458d838041caace81995aa068d65
11_1247_Unbenannt-2.psd,2013-06-17T10:44:36.886Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/51330b3b-4a3a-4722-bbf1-0f53e6356c83,https://medienarchiv.zhdk.ch/entries/6b8bc281-7350-46c7-b600-3e5bba7d3079,d/dd4238ead6ab4a6aad1475c3b008a118
11_1254_Unbenannt-5.psd,2013-06-17T10:44:42.440Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/b0ea058c-a3b1-4e3c-9816-fdc55ae6c075,https://medienarchiv.zhdk.ch/entries/144c9c52-ce5d-44fb-b41d-375d04f32a10,a/a90a1a2a26684d54ab8841bac40ccc1e
11_1255_Unbenannt-6.psd,2013-06-17T10:44:47.586Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/5081036f-6e64-4f4f-8fa6-3b35595b3753,https://medienarchiv.zhdk.ch/entries/28a69f4c-0ac0-48db-8be3-4b9f17f135ad,4/41cc7cdca294446faee4373555363ded
11_1436_komposit.psd,2013-06-17T10:44:58.171Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/8c24faba-b3a2-4399-90cd-efe49520ced0,https://medienarchiv.zhdk.ch/entries/42d98447-f894-46ec-93e2-10ae0d42c891,8/8c3d75eb668847a089ea69e8e5caa20c
11_846_Athen gruben s175 abb136.psd,2013-06-17T10:47:27.927Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/4510fa2b-fe50-4062-b437-6dc0d5a520fc,https://medienarchiv.zhdk.ch/entries/bdd4473f-e117-4ac7-99b4-6c3e07ee7681,6/6f6c2d58c2944762ad105f8e7adeb2c6
8_2862_dorisch_kapitell_gebälk2_kl.psd,2013-06-17T10:54:34.553Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/bba26387-4e53-41d0-bbf4-938338488e08,https://medienarchiv.zhdk.ch/entries/32aba9dc-7a8e-4367-965d-22b9af90cf65,b/b0f6ef665b2444d2a4a0bb13ed7d35aa
8_2915_vergleich_ionisch.psd,2013-06-17T10:58:17.286Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/9ac119f8-ce7e-4e61-abc3-20faaa4b7c22,https://medienarchiv.zhdk.ch/entries/d16578be-1bdd-401b-a54e-9358e3b4d90a,6/63cfe7be84384c2ebc33c9057dd60ba2
8_2919_dorisch_kapitell_gebälk2_kl.psd,2013-06-17T10:58:40.990Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/12ee87a3-6ab9-4c3a-830c-498f4a365eca,https://medienarchiv.zhdk.ch/entries/346ccf9d-023a-4c3e-a538-59d6e8b8358f,7/7742dfd5e1fb4a85a248ab3e86abab90
8_2929_ionisch_gesamt.psd,2013-06-17T10:59:24.045Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/81e09fea-a714-456a-912c-ebb41fbc3684,https://medienarchiv.zhdk.ch/entries/3c30a910-bba5-4a64-abfb-5d635563c4ca,7/7ba21966ad6e495fbef0de371d51c214
8_2930_ionisch_kapitell_gebälk.psd,2013-06-17T10:59:34.420Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/abd4efca-c984-4ab0-b839-61c2cb412049,https://medienarchiv.zhdk.ch/entries/f3838d59-b3ce-44d3-a0fc-a5a021f17fa9,f/fbe52854791b42c5ba6a2d1342a12ffb
8_2936_ionisch_volute.psd,2013-06-17T11:00:06.312Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/7d97c4be-618e-418a-a719-dff8dd67a482,https://medienarchiv.zhdk.ch/entries/fae0dd9b-1146-4929-b269-d1ba1c650847,d/d5e728dca0254d87a5481fc687bcbb22
8_2937_säulenordnung_chitham.psd,2013-06-17T11:00:17.424Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/a1a489d8-858e-4593-a0df-7ad34326bc65,https://medienarchiv.zhdk.ch/entries/540bbfc4-9079-4fca-84e6-c13106c1ef6b,d/d64cafafb60547358abc37db7290b24f
8_2941_dorisch_basis.psd,2013-06-17T11:00:44.983Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/6fb71472-04dc-4a34-9218-d6d8ddd58202,https://medienarchiv.zhdk.ch/entries/6d16a98f-82d8-4ec6-b39f-225aa4f4c918,2/2a300cba002148639819898e0211cce4
8_2943_ionisch_kapitell1.psd,2013-06-17T11:01:01.609Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/b9fe246d-13a3-4ab8-a425-46b7bcadc562,https://medienarchiv.zhdk.ch/entries/f77b50a3-ad0b-447b-b674-8c97c9734fe0,a/aad33fcdbe9845f3bb8ac553ac31ecb7
